사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-01,1호선,0150,서울역,1445261,1337363,205003,197190
2020-01,1호선,0151,시청,623387,633560,107077,107246
2020-01,1호선,0152,종각,1093566,1049286,161226,151128
2020-01,1호선,0153,종로3가,619272,595970,364104,338705
2020-01,1호선,0154,종로5가,507339,513603,255145,245168
2020-01,1호선,0155,동대문,284724,313871,122756,126600
2020-01,1호선,0156,신설동,323258,316893,117081,110677
2020-01,1호선,0157,제기동,260659,255740,335767,360747
2020-01,1호선,0158,청량리(서울시립대입구),400999,406766,316427,322368
2020-01,1호선,0159,동묘앞,156787,168473,141311,143603
2020-01,2호선,0201,시청,665333,629991,57265,52094
2020-01,2호선,0202,을지로입구,1343584,1350749,110507,102302
2020-01,2호선,0203,을지로3가,569762,569841,82989,82254
2020-01,2호선,0204,을지로4가,292240,294242,86499,83974
2020-01,2호선,0205,동대문역사문화공원,420734,485431,55402,58430
2020-01,2호선,0206,신당,325478,342278,96146,99020
2020-01,2호선,0207,상왕십리,342945,325808,65266,65191
2020-01,2호선,0208,왕십리(성동구청),470054,399334,56886,47777
2020-01,2호선,0209,한양대,212741,228859,13680,14465
2020-01,2호선,0210,뚝섬,489458,520507,56941,57555
2020-01,2호선,0211,성수,762458,831318,101411,102910
2020-01,2호선,0212,건대입구,1133278,1246969,92488,95998
2020-01,2호선,0213,구의(광진구청),593417,571550,106273,107366
2020-01,2호선,0214,강변(동서울터미널),1119525,1109529,132190,127900
2020-01,2호선,0215,잠실나루,358769,345698,86494,86858
2020-01,2호선,0216,잠실(송파구청),2253493,2174150,195766,187408
2020-01,2호선,0217,잠실새내,576639,589290,106293,105636
2020-01,2호선,0218,종합운동장,224243,251744,45682,46868
2020-01,2호선,0219,삼성(무역센터),1540362,1571611,116956,109867
2020-01,2호선,0220,선릉,1340537,1193596,208485,183121
2020-01,2호선,0221,역삼,1228226,1374812,154515,156941
2020-01,2호선,0222,강남,2784689,2866156,172268,154536
2020-01,2호선,0223,교대(법원.검찰청),849695,966026,157288,178227
2020-01,2호선,0224,서초,545772,536768,82653,82024
2020-01,2호선,0225,방배,426727,442229,76366,75603
